ペトリコール町,ぺとりこーるちょう,地名その他,原神/地名/フォンテーヌ
ノストイ地区,のすといちく,地名その他,原神/地名/フォンテーヌ
色褪せた城,いろあせたしろ,地名その他,原神/地名/フォンテーヌ
往日の海,おうじつのうみ,地名その他,原神/地名/フォンテーヌ
ヤヌスの門,やぬすのもん,地名その他,原神/地名/フォンテーヌ
ホルトゥス・ユーゲレティス,ほるとぅす・ゆーげれてぃす,地名その他,原神/地名/フォンテーヌ
アルタ・セミタ,あるた・せみた,地名その他,原神/地名/フォンテーヌ
アピトリヌス山,あぴとりぬすさん,地名その他,原神/地名/フォンテーヌ
諧律院,かいりついん,地名その他,原神/地名/フォンテーヌ
モルテ地区,もるてちく,地名その他,原神/地名/フォンテーヌ
エリニュス山林地区,えりにゅすさんりんちく,地名その他,原神/地名/フォンテーヌ
イースト・エスス山麓,いーすと・えすすさんろく,地名その他,原神/地名/フォンテーヌ
中央実験室跡地,ちゅうおうじっけんしつあとち,地名その他,原神/地名/フォンテーヌ
新フォンテーヌ科学院,しんふぉんてーぬかがくいん,地名その他,原神/地名/フォンテーヌ
ウラニア湖,うらにあこ,地名その他,原神/地名/フォンテーヌ
湖中のウィーピングウィロー,こちゅうのうぃーぴんぐうぃろー,地名その他,原神/地名/フォンテーヌ
霧の幽林道,きりのゆうりんどう,地名その他,原神/地名/フォンテーヌ
ルミドゥースハーバー,るみどぅーすはーばー,地名その他,原神/地名/フォンテーヌ
カリュブディス砦跡,かりぶでぃすとりであと,地名その他,原神/地名/フォンテーヌ
イースト・オトンヌキ,いーすと・おとんぬき,地名その他,原神/地名/フォンテーヌ
イプシシマスの塔,いぷししますのとう,地名その他,原神/地名/フォンテーヌ
リフィー地区,りふぃーちく,地名その他,原神/地名/フォンテーヌ
フォンテーヌ運動エネルギー工学科学研究院地区,ふぉんてーぬうんどうえねるぎーこうがくかがくけんきゅういんちく,地名その他,原神/地名/フォンテーヌ
メロピデ要塞,めろぴでようさい,地名その他,原神/地名/フォンテーヌ
万水の源・グレート・フォンテーヌ・レイク,ばんすいのみなもと・ぐれーと・ふぉんてーぬ・れいく,地名その他,原神/地名/フォンテーヌ
モン・オトンヌキ,もん・おとんぬき,地名その他,原神/地名/フォンテーヌ
「とても明るい場所」,とてもあかるいばしょ,地名その他,原神/地名/フォンテーヌ
出会えてうれしい,であえてうれしい,地名その他,原神/地名/フォンテーヌ
自然哲学学院,しぜんてつがくがくいん,地名その他,原神/地名/フォンテーヌ
安眠の地,あんみんのち,地名その他,原神/地名/フォンテーヌ
エリナス,えりなす,地名その他,原神/地名/フォンテーヌ
廷地区アクアロード・ターミナル,ていちくあくあろーど・たーみなる,地名その他,原神/地名/フォンテーヌ
ヴァザーリ回廊,ゔぁざーりかいろう,地名その他,原神/地名/フォンテーヌ
リヨンエリア,りよんえりあ,地名その他,原神/地名/フォンテーヌ
ナルボンヌエリア,なるぼんぬえりあ,地名その他,原神/地名/フォンテーヌ
サーンドル河,さーんどるがわ,地名その他,原神/地名/フォンテーヌ
エリニュス島,えりにゅすとう,地名その他,原神/地名/フォンテーヌ
ポート・マルコット,ぽーと・まるこっと,地名その他,原神/地名/フォンテーヌ
ルキナの泉,るきなのいずみ,地名その他,原神/地名/フォンテーヌ
ポワソン町,ぽわそんちょう,地名その他,原神/地名/フォンテーヌ
メリュシー村,めりゅしーむら,地名その他,原神/地名/フォンテーヌ
エルトン海溝,えるとんかいこう,地名その他,原神/地名/フォンテーヌ
サラシア海原,さらしあうなばら,地名その他,原神/地名/フォンテーヌ
希望の道,きぼうのみち,地名その他,原神/地名/フォンテーヌ
タラッタ海底谷,たらったかいていこく,地名その他,原神/地名/フォンテーヌ
ウェスト・オトンヌキ,うぇすと・おとんぬき,地名その他,原神/地名/フォンテーヌ
フォンテーヌ廷地区,ふぉんてーぬていちく,地名その他,原神/地名/フォンテーヌ
ブロー地区,ぶろーちく,地名その他,原神/地名/フォンテーヌ
ポワソントンネル,ぽわそんとんねる,地名その他,原神/地名/フォンテーヌ
ベリル地区,べりるちく,地名その他,原神/地名/フォンテーヌ
「とてもあったかい場所」,とてもあったかいばしょ,地名その他,原神/地名/フォンテーヌ
「さみしい場所」,さみしいばしょ,地名その他,原神/地名/フォンテーヌ
フォンテーヌ廷,ふぉんてーぬてい,地名その他,原神/地名/フォンテーヌ
ロマリタイムハーバー,ろまりたいむはーばー,地名その他,原神/地名/フォンテーヌ
フォンテーヌ,ふぉんてーぬ,地名その他,原神/国名
