;; okuri-ari entries.
;; okuri-nasi entries.
ああるこしゃり /アアルコシャリ/
あいおーぬ /アイオーヌ/
あいせつなあいすくりすたる /哀切なアイスクリスタル/
あいせつなあいすくりすたる・かけら /哀切なアイスクリスタル・欠片/
あいせつなあいすくりすたる・かたまり /哀切なアイスクリスタル・塊/
あいせつなあいすくりすたる・さいせつ /哀切なアイスクリスタル・砕屑/
あいべる /アイベル/
あいん /アイン/
あうたけへいげん /アウタケ平原/
あおいろのせんりょう /青色の染料/
あおやまへらさぎ /アオヤマヘラサギ/
あかいろのせんりょう /赤色の染料/
あかかんむりがら /赤カンムリガラ/
あかがねのはいじょう /赤金の廃城/
あかくちばしぺりかん /赤喙ペリカン/
あかま /アカマ/
あからじぇ /アカラジェ/
あくりゃ /アクリャ/
あげざかなのあまずあんかけ /揚げ魚の甘酢あんかけ/
あげも /アゲモ/
あこうのます /赤穂の枡/
あこがれ /憧れ/
あさせじんじゃ /浅瀬神社/
あさつゆのとき /朝露の時/
あざりく /アザリク/
あざーる /アザール/
あじゃんたちょうこくてん /アジャンタ彫刻店/
あすとろーぎすと・もな・めぎすとす /アストローギスト・モナ・メギストス/
あすふぁんど /アスファンド/
あっしぇん /アッシェン/
あっしぇんろりにあざい /アッシェンロリニア材/
あっぷるさいだー /アップルサイダー/
あてあ /アテア/
あでりん /アデリン/
あでるふぃ /アデルフィ/
あとっさ /アトッサ/
あなとーる /アナトール/
あはんがる /アハンガル/
あばっどい /アバッドイ/
あびさるゔぃしゃっぷのむれ /アビサルヴィシャップの群れ/
あびすのえいしょうしゃ・えんえん /アビスの詠唱者・淵炎/
あびすのえいしょうしゃ・しでん /アビスの詠唱者・紫電/
あびすのしと・げきりゅう /アビスの使徒・激流/
あびすのしと・らくそう /アビスの使徒・落霜/
あびすのまじゅつし・かみなり /アビスの魔術師・雷/
あびすのまじゅつし・こおり /アビスの魔術師・氷/
あびすのまじゅつし・ほのお /アビスの魔術師・炎/
あびすのまじゅつし・みず /アビスの魔術師・水/
あぴとりぬすさん /アピトリヌス山/
あふたぬーんてぃー /アフタヌーンティー/
あふまる /アフマル/
あぶらくさす /アブラクサス/
あべらく /阿倍良久/
あぺぷ /アペプ/
あぽぱろん /アポパロン/
あまえびのにぎりずし /甘エビの握り寿司/
あまかねじま /甘金島/
あまくもとうげ /天雲峠/
あまでぃあ /アマディア/
あみな /アミナ/
あめのまかじや /天目鍛冶屋/
あめのまとうご /天目十五/
あもん /アモン/
あらうみ /荒海/
あらしねえ /嵐姉/
あらなみぱい /荒波パイ/
あらに /アラニ/
あらんから /アランカラ/
あらんがる /アランガル/
あらんこんてぃ /アランコンティ/
あらんさか /アランサカ/
あらんしゃくん /アランシャクン/
あらんださ /アランダサ/
あらんだーしゃ /アランダーシャ/
あらんちゃんとら /アランチャントラ/
あらんなが /アランナガ/
あらんなきん /アランナキン/
あらんなくら /アランナクラ/
あらんはどぅ /アランハドゥ/
あらんばりか /アランバリカ/
あらんぱかてぃ /アランパカティ/
あらんぱす /アランパス/
あらんぱんどぅ /アランパンドゥ/
あらんふぁら /アランファラ/
あらんま /アランマ/
あらんみなり /アランミナリ/
あらんむふくんだ /アランムフクンダ/
あらんらきゃ /アランラキャ/
あらんらじゃ /アランラジャ/
あらんらな /アランラナ/
あらんろひた /アランロヒタ/
あらん・ぎよたん /アラン・ギヨタン/
ありす /アリス/
ある /亜琉/
あるえ /アルエ/
あるけうむ /アルケウム/
あるた・せみた /アルタ・セミタ/
あれそ /アレソ/
あれふ /アレフ/
あろむ /アロム/
あわあわたつのこ・おす /アワアワタツノコ・オス/
あん /アン/
あんかいのちょうこく /暗晦の彫刻/
あんしえた /アンシエタ/
あんしょくぷりずむ /暗色プリズム/
あんでしゅどってる /アンデシュドッテル/
あんとはー /アントハー/
あんとん・めるにこふ /アントン・メルニコフ/
あんとーん・ろじゃー /アントーン・ロジャー/
あんにんどうふ /杏仁豆腐/
あんみんのち /安眠の地/
あんみんへのでざいあ /安眠へのデザイア/
あんり /アンリ/
あーもんど /アーモンド/
あーらゔ /アーラヴ/
あーりやでーば /アーリヤデーバ/
あーるどらー /アールドラー/
いぇれーな /イェレーナ/
いぇん /イェン/
いぇんどぅしぇん /腌篤鮮/
いおろい /五百蔵/
いかいせいめいたいのこあ /異界生命体のコア/
いかいのかたまり /異海の塊/
いかいのつゆ /異海の露/
いかいのよかげ /異界の余影/
いかんのきしょう /尉官の記章/
いくなる /イクナル/
いくんのはな /偉勲の花/
いけのなかにあるていたく /池の中にある邸宅/
いしょうどうてんしんくん /移霄導天真君/
いすたろと /イスタロト/
いせきせんめつしゃ /遺跡殲滅者/
いせきていさつしゃ /遺跡偵察者/
いせきぼうえいしゃ /遺跡防衛者/
いたれりつくせり /至れり尽くせり/
いでぃあ /イディア/
いどりし /イドリシ/
いなずまじょう /稲妻城/
いなや /イナヤ/
いなーむ /イナーム/
いにしえのちょうぼうだい /古の眺望台/
いのしし /イノシシ/
いのししぷりんせす /イノシシプリンセス/
いふぁ /イファ/
いぷししますのとう /イプシシマスの塔/
いみしゅ /イミシュ/
いよーば /イヨーバ/
いりやーす /イリヤース/
いる・ふろったんと /イル・フロッタント/
いろあせたあかいきぬ /色褪せた赤い絹/
いろあせたげきじょう /色褪せた劇場/
いろあせたしろ /色褪せた城/
いろがわりのけっしょう /色変わりの結晶/
いろっく /イロック/
いわしょうちょう /岩晶蝶/
いわすらいむ /岩スライム/
いわふらいむ /岩フライム/
いんじゃのおう・どあーちゅ /隠者の王・ドアーチュ/
いんねんのたま /陰燃の珠/
いゔす /イヴス/
いーすと・えすすさんろく /イースト・エスス山麓/
いーすと・おとんぬき /イースト・オトンヌキ/
うぃからたいしょうやど /ウィカラ隊商宿/
うぃんがれっとごう /ウィンガレット号/
うぇすと・おとんぬき /ウェスト・オトンヌキ/
うぇんつぁい /ウェンツァイ/
うぉるじー /ウォルジー/
うきせいこう /雨奇晴好/
うきよのおしえ /「浮世」の教え/
うきよのてつがく /「浮世」の哲学/
うきよのみちびき /「浮世」の導き/
うくんが /ウクンガ/
うぐいす /鶯/
うしお /丑雄/
うちょうのとう /有頂の塔/
うっすー /ウッスー/
うどん /うどん/
うなぎのかばやき /うなぎの蒲焼/
うなちゃづけ /うな茶漬け/
うまうましゃわるまさんど /ウマウマシャワルマサンド/
うまれたてのだくすいげんれい /生まれたての濁水幻霊/
うみどりのひとやすみ /海鳥の一休み/
うゆうてい /烏有亭/
うらないのえまき /占いの絵巻/
うらにあこ /ウラニア湖/
うらんた /ウランタ/
うりんさらだ /雨林サラダ/
うる /ウル/
うるまん /ウルマン/
うーうーぶどう /ウーウーブドウ/
うーうーぶどう /ウーウーブドウ/
うーししょう /卯師匠/
えいえんなるしんこう /永遠なる信仰/
えいぞくこあ /永続コア/
えいびす /エイビス/
えいようたっぷりばらんすしょく /栄養たっぷりバランス食/
えいりなやさき /鋭利な矢先/
えうるあ・ろーれんす /エウルア・ローレンス/
えくちゅあ /エクチュア/
えげりあ /エゲリア/
えすたぶれ /エスタブレ/
えすたんぷ /エスタンプ/
えすのわーる /エスノワール/
えずもんど /エズモンド/
えそんぬ /エソンヌ/
えで /エデ/
えでる /エデル/
えどうぃん・いーすてぃんぐはうす /エドウィン・イースティングハウス/
えどがー /エドガー/
えびのあっさりいため /エビのあっさり炒め/
えびのぽてとかなっぺ /エビのポテトカナッペ/
えびのぽてとつつみあげ /エビのポテト包み揚げ/
えぴくれしすかげきじょう /エピクレシス歌劇場/
えふぇんでぃ /エフェンディ/
えぼし /烏帽子/
えら・ますく /エラ・マスク/
えりなす /エリナス/
えりにゅすさんりんちく /エリニュス山林地区/
えりにゅすとう /エリニュス島/
えりまききじ /エリマキキジ/
えりん /エリン/
えるとんかいこう /エルトン海溝/
えるひんげん /エルヒンゲン/
えるふぁね /エルファネ/
えるまいとりょだん・あっくす /エルマイト旅団・アックス/
えるまいとりょだん・くろすぼう /エルマイト旅団・クロスボウ/
えるまいとりょだん・げいるはんたー /エルマイト旅団・ゲイルハンター/
えるまいとりょだん・さんどうぉーたー /エルマイト旅団・サンドウォーター/
えるまいとりょだん・さんどろあますたー /エルマイト旅団・サンドロアマスター/
えるまいとりょだん・さんふろすと /エルマイト旅団・サンフロスト/
えるまいとりょだん・すとーんえんちゃんたー /エルマイト旅団・ストーンエンチャンター/
