Genshin Impact Extra 1
ああるこしゃり	アアルコシャリ
あいおーぬ	アイオーヌ
あいせつなあいすくりすたる	哀切なアイスクリスタル
あいせつなあいすくりすたる・かけら	哀切なアイスクリスタル・欠片
あいせつなあいすくりすたる・かたまり	哀切なアイスクリスタル・塊
あいせつなあいすくりすたる・さいせつ	哀切なアイスクリスタル・砕屑
あいべる	アイベル
あいん	アイン
あうたけへいげん	アウタケ平原
あおいろのせんりょう	青色の染料
あおやまへらさぎ	アオヤマヘラサギ
あかいろのせんりょう	赤色の染料
あかかんむりがら	赤カンムリガラ
あかがねのはいじょう	赤金の廃城
あかくちばしぺりかん	赤喙ペリカン
あかま	アカマ
あからじぇ	アカラジェ
あくりゃ	アクリャ
あげざかなのあまずあんかけ	揚げ魚の甘酢あんかけ
あげも	アゲモ
あこうのます	赤穂の枡
あこがれ	憧れ
あさせじんじゃ	浅瀬神社
あさつゆのとき	朝露の時
あざりく	アザリク
あざーる	アザール
あじゃんたちょうこくてん	アジャンタ彫刻店
あすとろーぎすと・もな・めぎすとす	アストローギスト・モナ・メギストス
あすふぁんど	アスファンド
あっしぇん	アッシェン
あっしぇんろりにあざい	アッシェンロリニア材
あっぷるさいだー	アップルサイダー
あてあ	アテア
あでりん	アデリン
あでるふぃ	アデルフィ
あとっさ	アトッサ
あなとーる	アナトール
あはんがる	アハンガル
あばっどい	アバッドイ
あびさるゔぃしゃっぷのむれ	アビサルヴィシャップの群れ
あびすのえいしょうしゃ・えんえん	アビスの詠唱者・淵炎
あびすのえいしょうしゃ・しでん	アビスの詠唱者・紫電
あびすのしと・げきりゅう	アビスの使徒・激流
あびすのしと・らくそう	アビスの使徒・落霜
あびすのまじゅつし・かみなり	アビスの魔術師・雷
あびすのまじゅつし・こおり	アビスの魔術師・氷
あびすのまじゅつし・ほのお	アビスの魔術師・炎
あびすのまじゅつし・みず	アビスの魔術師・水
あぴとりぬすさん	アピトリヌス山
あふたぬーんてぃー	アフタヌーンティー
あふまる	アフマル
あぶらくさす	アブラクサス
あべらく	阿倍良久
あぺぷ	アペプ
あぽぱろん	アポパロン
あまえびのにぎりずし	甘エビの握り寿司
あまかねじま	甘金島
あまくもとうげ	天雲峠
あまでぃあ	アマディア
あみな	アミナ
あめのまかじや	天目鍛冶屋
あめのまとうご	天目十五
あもん	アモン
あらうみ	荒海
あらしねえ	嵐姉
あらなみぱい	荒波パイ
あらに	アラニ
