Genshin Impact Extra 2
ぎょにくのやきめん	魚肉の焼き麺
ぎんゆうしゃのすいとう	吟遊者の水筒
くいく	クイク
くいみ	クイミ
くさしょうちょう	草晶蝶
くさすらいむ	草スライム
くさふらいむ	草フライム
くさぶしのいえ	草臥の家
くしやきさんしゅ	串焼き三種
くじゃくざい	孔雀材
くじょうじんや	九条陣屋
くじらいぼうや	鯨井坊や
くじらいもみじ	鯨井椛
くせら	クセラ
くだけたいしのけっぺん	砕けた意思の欠片
くだけたけんのつか	砕けた剣の柄
くなっく	クナック
くにくずし	国崩
くびながらいの	クビナガライノ
くもかくしだま	雲隠し玉
くりすたるびーとる	クリスタルビートル
くりんぐそる	クリングソル
くりーゔ	クリーヴ
くるせびな	クルセビナ
くれいとぽん	クレイトポン
くれーむくれーぷしゅぜっと	クレームクレープシュゼット
くろせすずきのからとおがらしにこみ	黒背スズキの唐辛子煮込み
くんじゅ	クンジュ
ぐぅおぱぁー	グゥオパァー
ぐぐぷらむのじゅーす	ググプラムのジュース
ぐざゔぃえ	グザヴィエ
ぐすれっど	グスレッド
ぐっどうぃん	グッドウィン
ぐらーぶ	グラーブ
ぐるぐるかみなりきのこん	グルグル雷キノコン
ぐるぐるこおりきのこん	グルグル氷キノコン
ぐるぐるほのおきのこん	グルグル炎キノコン
ぐれいんかっぷ	グレインカップ
ぐれいんちっぷす	グレインチップス
ぐれいん・ぽそれ	グレイン・ポソレ
ぐれんが	紅蓮蛾
ぐろーりー	グローリー
けいぎょくかとう	瓊玉果湯
けいさくかていりょうり	軽策家庭料理
けいさくのうかりょうり	軽策農家料理
けいた	ケイタ
けいわ	荊和
けうらに	ケウラニ
けえほ	ケエホ
けっとうのたましい	決闘の魂
けつぎょくのえだ	血玉の枝
けものにくしちゅー	獣肉シチュー
けものにくのびりやに	獣肉のビリヤニ
けんこんもらみーと	乾坤モラミート
けんごなはいこつ	堅固な背骨
けんさかんのかたな	検査官の刀
けんじゃ	賢者
けんじゅんじゅうこうやどかに	堅盾重甲ヤドカニ
けんぞうとっかがたましなりー	建造特化型マシナリー
けんとうしのがいせん	剣闘士の凱旋
けんとうしのきちゃく	剣闘士の帰着
けんとうしのきぼう	剣闘士の希望
けんとうしのみれん	剣闘士の未練
けんとうしのめいてい	剣闘士の酩酊
けんろうなとぱーず	堅牢なトパーズ
けんろうなとぱーず・かけら	堅牢なトパーズ・欠片
けんろうなとぱーず・かたまり	堅牢なトパーズ・塊
けんろうなとぱーず・さいせつ	堅牢なトパーズ・砕屑
けーなう	ケーナウ
げっこうのうき	月光の羽鰭
げつかいてい	月海亭
げつき	玥輝
げんがんのとう	玄岩の塔
げんきおべんとう	元気お弁当
げんけいあひる	幻形アヒル
げんけいあひる・みず	幻形アヒル・水
げんけいいのしし	幻形イノシシ
げんけいいのしし・みず	幻形イノシシ・水
げんけいかに	幻形カニ
げんけいかに・みず	幻形カニ・水
げんけいりす	幻形リス
げんけいりす・みず	幻形リス・水
げんしょう	言笑
げんしょのあのかた	原初のあの方
げんしょのおあしすのはつざき	原初のオアシスの初咲き
げんしょのさと	原初の郷
げんそせいめい	元素生命
げんそばなのみつ	原素花の蜜
げんどうりんご	玄冬林檎
げーたーきんぐ	ゲーターキング
げーて	ゲーテ
こいつはどうだけ	コイツハドウダケ
こううんのおすそわけ	幸運のおすそわけ
こうけんとっかがたましなりー	攻堅特化型マシナリー
こうこひゃくみ	江湖百味
こうさいせんれい	光彩仙霊
こうしょう	候章
こうしんりょう	香辛料
こうじょうからくりのしん	恒常からくりの芯
こうそうのおしえ	「抗争」の教え
こうそうのてつがく	「抗争」の哲学
こうそうのみちびき	「抗争」の導き
こうとうのおうのかわら	高塔の王の瓦
こうとうのおうのくだけたゆめ	高塔の王の砕けた夢
こうとうのおうのざんぺき	高塔の王の残壁
こうとうのおうのだんぺん	高塔の王の断片
こうはくじゅざい	コウハクジュ材
こうへいのおしえ	「公平」の教え
こうへいのてつがく	「公平」の哲学
こうへいのみちびき	「公平」の導き
こうろいってんゆき	紅炉一点雪
こうんかんりんのきがん	孤雲寒林の輝岩
こうんかんりんのこうさ	孤雲寒林の光砂
こうんかんりんのしんたい	孤雲寒林の神体
こうんかんりんのせいがい	孤雲寒林の聖骸
こうんりょうしょうのところ	孤雲凌霄の処
こおおかみ	子オオカミ
こおらう	コオラウ
こおりしょうちょう	氷晶蝶
こおりすらいむ	氷スライム
こおりのじょこう	氷の女皇
こおりふらいむ	氷フライム
こおりまつりのかんむり	氷祭りの冠
こおりをくだくしゅうねん	氷を砕く執念
こくしょうのつのぶえ	黒晶の角笛
こくじゃきし・さいがんのおの	黒蛇騎士・砕岩の斧
こくじゃきし・ざんぷうのけん	黒蛇騎士・斬風の剣
こくどうのつのぶえ	黒銅の角笛
こくぽん	コクポン
こくやのちょうこく	黒夜の彫刻
こげたまじょのぼうし	焦げた魔女の帽子
こすてりつきー	コステリツキー
こすんつぁーな	コスンツァーナ
こせきむら	越石村
こちゅうのうぃーぴんぐうぃろー	湖中のウィーピングウィロー
こっぺりあのそうそう	コッペリアの葬送
ことしのやばね	琴師の矢羽
こふうなせいほうのでーつなん	古風な製法のデーツナン
こへんのににあん	湖辺のニニアン
こへんのゔぃゔぃあん	湖辺のヴィヴィアン
こぺりうすのごうばつ	コペリウスの劫罰
こむぎ	小麦
こむぎこ	小麦粉
こめまんじゅう	米まんじゅう
こもれちゃや	木漏茶屋
こもんき	コモンキ
こよぱ	コヨパ
ころたーる・あるべりひ	コロタール・アルベリヒ
ころんびーな	コロンビーナ
こんがまとー	コンガマトー
こんじゃくげきがのあくい	今昔劇画の悪尉
こんじゃくげきがのきじん	今昔劇画の鬼人
こんじゃくげきがのこが	今昔劇画の虎牙
こんじゃくげきがのせきかく	今昔劇画の隻角
こんそめすーぷ	コンソメスープ
こんだに	紺田煮
こんだむら	紺田村
こんとんすとれーじ	混沌ストレージ
こんとんのかいろ	混沌の回路
こんとんのきかん	混沌の機関
こんとんのしんがん	混沌の真眼
こんとんのそうち	混沌の装置
こんとんのちゅうすう	混沌の中枢
こんとんのろしん	混沌の炉心
こんとんぼると	混沌ボルト
こんとんもじゅーる	混沌モジュール
こーうぇる	コーウェル
こーひーまめ	コーヒー豆
ごきゅうさんしきえいようしょく	五九三式栄養食
ごくあくき	極悪騎
ごくえんのちょう	獄炎の蝶
ごごのぱんけーき	午後のパンケーキ
ごだいおあしすのでんどう	五大オアシスの殿堂
ごっかんのこあ	極寒のコア
ごほうつけもの	五宝漬物
ごりこふ	ゴリコフ
ごーるどのからすまーく	ゴールドの鴉マーク
さいけいせっせんのところ	細径折旋の処
さいこうのちえ・せいかつ	最高の知恵・生活
さいしょうのあめしすと	最勝のアメシスト
さいしょうのあめしすと・かけら	最勝のアメシスト・欠片
さいしょうのあめしすと・かたまり	最勝のアメシスト・塊
さいしょうのあめしすと・さいせつ	最勝のアメシスト・砕屑
さかなとだいこんのにこみ	魚とダイコンの煮込み
さかなのくりーむそーす	魚のクリームソース
さかなのみんとそーすぐりる	魚のミントソースグリル
さくげつちくようしんくん	削月築陽真君
さくめいげんようのさかい	錯迷幻杳の境
さけにつけたぼうし	酒に漬けた帽子
さしみのもりあわせ	刺身の盛り合わせ
さそり	サソリ
さっざまん・ふーまい	サッザマン・フーマイ
さでぃーふ	サディーフ
さぼーん	サボーン
さみえる	サミエル
さみしいばしょ	「さみしい場所」
さむぞらのくぎ	寒天の釘
さもさ	サモサ
さらしあうなばら	サラシア海原
さりゅうのにわ	砂流ノ庭
さるさ	サルサ
さろんめんばー	サロンメンバー
さんかんゆうこく	山間幽谷
さんがやき	さんが焼き
さんごのみや	珊瑚宮
さんしょくだんご	三色団子
さんせきのみまもり	山脊の見守り
さんどろーね	サンドローネ
さんはじ	サンハジ
さんばいよい	三杯酔
さーちぇん	サーチェン
さーんどるがわ	サーンドル河
ざいかのしゅうまつ	罪禍の終末
ざいとぅんとう	ザイトゥン桃
ざいん	ザイン
ざかんのやたい	ザカンの屋台
ざははでぃ	ザハハディ
ざまらん	ザマラン
ざんかのとうそく	残火の灯燭
しいくぞうしょくせいめいたい	飼育増殖生命体
しぇいくずばいる	シェイクズバイル
しぇーんぶるん	シェーンブルン
しおんうんげい	紫苑雲霓
しかんのきしょう	士官の記章
しがせんしのかせ	獅牙戦士の枷
しがせんしのくさり	獅牙戦士の鎖
しがせんしのてじょう	獅牙戦士の手錠
しがせんしのりそう	獅牙戦士の理想
しきえんまん	四喜円満
しきしゃのはっと	指揮者のハット
しきだいしょう	式大将
しきんおおずぐろかもめ	紫金オオズグロカモメ
しきんのなべ	熾金の鍋
ししょうのめん	嗤笑の面
しずかなうみいろ	静かな海色
しずくちゃん	シズクちゃん
しせいおでん	市井おでん
しせん	志璇
しぜんてつがくがくいん	自然哲学学院
しちょうせいごう	死兆星号
しっこくのいんてつのいっかく	漆黒の隕鉄の一角
しっこくのいんてつのいっぺん	漆黒の隕鉄の一片
しっこくのいんてつのかたまり	漆黒の隕鉄の塊
しっこくのいんてつのひとつぶ	漆黒の隕鉄の一粒
しとらす	シトラス
しぱく	シパク
しぶんのおしえ	「詩文」の教え
しぶんのてつがく	「詩文」の哲学
しぶんのみちびき	「詩文」の導き
しほうへいわ	四方平和
しむらや	志村屋
しめすと	シメスト
しもをまとったきこつ	霜を纏った気骨
しゃおゆう	シャオユウ
しゃくしんをささげるえいこう	灼心を捧げる栄光
しゃくしんをささげるきょうふ	灼心を捧げる恐怖
しゃくしんをささげるけつい	灼心を捧げる決意
しゃくしんをささげるちゅうちょ	灼心を捧げる躊躇
しゃっけいのやかた	借景ノ館
しゃむ	シャム
しゃわるまさんど	シャワルマサンド
しやふ	シヤフ
しゅううかも	秋羽鴨
しゅうまつおあしすのしゅごしゃ	終末オアシスの守護者
しゅうゆうするつぼのせいれい	周遊する壺の精霊
しゅうゆうひゃっか	周遊百貨
しゅくふくのばくいん	祝福の縛印
しゅっつ	シュッツ
しゅばらんけ	シュバランケ
しゅりや	シュリヤ
しゅりょうとうえい	狩猟刀エイ
しょうきのかみ	正機の神
しょうこうせいうしんくん	銷虹霽雨真君
しょうじょのしばらくいきぬき	少女の暫く息抜き
しょうじょのはかなきかお	少女の儚き顔
しょうじょのみじかいかねん	少女の短い華年
しょうじょのゆらぐおもい	少女の揺らぐ思い
しょうすいのかぶと	将帥の兜
しょうぶのはね	昭武の羽根
しょうらまどれーぬ	晶螺マドレーヌ
しょこあとぅるすい	ショコアトゥル水
しらーじ	シラージ
しりころやま	シリコロ山
しるばーのからすまーく	シルバーの鴉マーク
しるゔぁ	シルヴァ
しるゔぁん	シルヴァン
しんげつけん	新月軒
しんじゅひすいはくぎょくとう	真珠翡翠白玉湯
しんちょうのよいん	深潮の余韻
しんぴなるけむりのけいじ	神秘なる煙の啓示
しんぴなるけむりのしこう	神秘なる煙の思考
しんぴなるけむりのよかん	神秘なる煙の予感
しんぴなるけむりのよちょう	神秘なる煙の予兆
しんふぉんてーぬかがくいん	新フォンテーヌ科学院
しんぺいのきしょう	新兵の記章
しんみちゃづけ	真味茶漬け
しんらいれんざんみっきゅう	震雷連山密宮
しん・ふうじんひゅっつぽっと	真・風神ヒュッツポット
しーむるぐ	シームルグ
じぇいこぶ・いんごるど	ジェイコブ・インゴルド
じぇいど	ジェイド
じぇぶらいら	ジェブライラ
じぇま	ジェマ
じぇろーに	ジェローニ
じぇんとるどっぐ	ジェントルドッグ
じぇんとるまん・あっしゃー	ジェントルマン・アッシャー
じぇんばー	ジェンバー
じゃこつこうこう	蛇骨鉱坑
じゃしんのち	蛇心の地
じゃちょうのみち	蛇腸の道
じゃっく	ジャック
じゃらーかん	ジャラーカン
じゃるじゃー	ジャルジャー
じゅういきうぇるぷ・いわ	獣域ウェルプ・岩
じゅういきうぇるぷ・かみなり	獣域ウェルプ・雷
じゅういきおうき	獣域王器
じゅういきはうんど・いわ	獣域ハウンド・岩
じゅういきはうんど・かみなり	獣域ハウンド・雷
じゅうこうやどかに	重甲ヤドカニ
じゅうこつらーめん	獣骨ラーメン
じゅうせんしのもくてき	従戦士の木笛
じゅくちひきょう	熟知秘境
じゅくみんのにわ	熟眠ノ庭
じゅくれんど	熟練度
じゅくれんなきば	熟練の牙
じゅりー	ジュリー
じゅん	順
じゅんせいなしずくのかんせん	純聖な雫の甘泉
じゅんせいなしずくのしょうか	純聖な雫の昇華
じゅんせいなしずくのせいずい	純聖な雫の精髄
じゅんせいなしずくのろさい	純聖な雫の濾滓
じゆうのおしえ	「自由」の教え
じゆうのたーこいず	自由のターコイズ
じゆうのたーこいず・かけら	自由のターコイズ・欠片
じゆうのたーこいず・かたまり	自由のターコイズ・塊
じゆうのたーこいず・さいせつ	自由のターコイズ・砕屑
じゆうのてつがく	「自由」の哲学
じゆうのみちびき	「自由」の導き
じょいんびれ	ジョインビレ
じょうこうざい	垂香材
じょうざいのいど	浄罪の井戸
じょうしょうでんせつ	常勝伝説
じょうすいのこころ	浄水の心
じょうねんのひだね	常燃の火種
じょうぶなこっぺん	丈夫な骨片
じょうるりこうぼう	淨琉璃工房
じょじょじー	椒椒鶏
じょりえんぬ	ジョリエンヌ
じりあんな	ジリアンナ
じんかいのうきしんくん	尋瑰納琦真君
じんだいやしき	陣代屋敷
じんにー	ジンニー
じんれんじま	刃連島
じん・ぐんひるど	ジン・グンヒルド
じゔぇるにー	ジヴェルニー
じーどぅふぁ	鶏豆花
すいかざい	萃華材
すいきょうのあすぴっく	水郷のアスピック
すいぎょくふくぶくろ	翠玉福袋
すいげつち	水月池
すいしょうえび	水晶蝦
すいしょうぷりずむ	水晶プリズム
すいーとふらわー	スイートフラワー
すかーく	スカーク
すきまのこあ	隙間のコア
すきゅら	スキュラ
すぎざい	杉材
すたどぅひん	スタドゥヒン
すたんれー	スタンレー
すちーむばーどしんぶんしゃ	スチームバード新聞社
