Genshin Impact Extra 3
ちぞめのてつかめん	血染めの鉄仮面
ちぞめのてつのこころ	血染めの鉄の心
ちちゅうのこうかい	地中の香海
ちつじょのおしえ	「秩序」の教え
ちつじょのてつがく	「秩序」の哲学
ちつじょのみちびき	「秩序」の導き
ちびでゅりん	ちびドゥリン
ちびりゅうびすけっと	ちび竜ビスケット
ちまり	チマリ
ちみゃくのかれは	地脈の枯れ葉
ちみゃくのしんめ	地脈の新芽
ちゅうおうじっけんしつあとち	中央実験室跡地
ちゅうかのていえん	仲夏の庭園
ちゅうげんのおしえ	「忠言」の教え
ちゅうげんのてつがく	「忠言」の哲学
ちゅうげんのみちびき	「忠言」の導き
ちゅにーな	チュニーナ
ちょうえつのさかずき	超越の盃
ちょうえん	チョウエン
ちょうこういんとんのしろ	兆候隠遁の城
ちょうせい	長生
ちょうぜいたくもりあわせぴざ	超贅沢盛り合わせピザ
ちょうめいならぴすらずり	澄明なラピスラズリ
ちょうめいならぴすらずり・かけら	澄明なラピスラズリ・欠片
ちょうめいならぴすらずり・かたまり	澄明なラピスラズリ・塊
ちょうめいならぴすらずり・さいせつ	澄明なラピスラズリ・砕屑
ちょうらんのたまごやき	鳥卵の玉子焼き
ちょこれーと	チョコレート
ちらいしゃでん	チライ社殿
ちんじゅのもり	鎮守の森
ちんとり	チントリ
つぁれーゔぃち	ツァレーヴィチ
ついおくのかぜ	追憶の風
つきのかりゅうど	月の狩人
つみたいしょふひつようがた	罪・対処不必要型
つみびと	罪人
つめがたはっしゅどぽてと	ツメ型ハッシュドポテト
つるつるまめ	ツルツル豆
てぃあご	ティアゴ
てぃあも	ティアモ
てぃくりってぃ	ティクリッティ
てぃとぅ	ティトゥ
てぃまいおす	ティマイオス
てぃみー	ティミー
てぃもーる	ティモール
てぃるざーど	ティルザード
ていおうのけつだん	帝王の決断
ていさつきしすてーき!	偵察騎士ステーキ!
ていちくあくあろーど・たーみなる	廷地区アクアロード・ターミナル
ていとんのとき	停頓の時
ていわっとふうこげたまご	テイワット風焦げ卵
ていわっとふうめだまやき	テイワット風目玉焼き
てうせる	テウセル
てっぴのししゃく	鉄皮の子爵
てっぺい	哲平
てんおじ	天おじ
てんこうのおしえ	「天光」の教え
てんこうのてつがく	「天光」の哲学
てんこうのみちびき	「天光」の導き
てんすうにく	天枢肉
てんちにはえるわらび	天地に生える蕨
てんてんよーよーじゅう	テンテンヨーヨー獣
てんとがめ	テントガメ
てんりのちょうていしゃ	天理の調停者
であえてうれしい	出会えてうれしい
でぃおな・かっつぇれいん	ディオナ・カッツェレイン
でぃるっく・らぐゔぃんど	ディルック・ラグヴィンド
でじれ	デジレ
でぴえり	デピエリ
でらろっしゅ	デラロッシュ
でーつ	デーツ
でーつなん	デーツナン
とぅぱっく	トゥパック
とぅんだま	トゥンダマ
とうごくのしじょ	冬国の仕女
とうふうのつめ	東風の爪
とうふうのといき	東風の吐息
とうふうのはね	東風の羽根
ときんのうろこ	鍍金の鱗
とくべつきょかしょくどう	特別許可食堂
とことこいわまっしゅろん	トコトコ岩マッシュロン
とことこみずまっしゅろん	トコトコ水マッシュロン
とこやみのわ	常闇の輪
とこよれいびょう	常夜霊廟
とっこうのおしえ	「篤行」の教え
とっこうのてつがく	「篤行」の哲学
とっこうのみちびき	「篤行」の導き
とてく	トテク
とてもあかるいばしょ	「とても明るい場所」
とてもあったかいばしょ	「とてもあったかい場所」
とば	トバ
とびへび	トビヘビ
とぴあ	トピア
とらいとりにく	渡来鳥肉
とりっくふらわーのみつ	トリックフラワーの蜜
とりっくふらわー・かみなり	トリックフラワー・雷
とりっくふらわー・こおり	トリックフラワー・氷
とりっくふらわー・ほのお	トリックフラワー・炎
とりにくとやせいきのこのくしやき	鳥肉と野生キノコの串焼き
とりにくのくんせい	鳥肉の燻製
とりにくのすいーとふらわーつけやき	鳥肉のスイートフラワー漬け焼き
とりにだーど	トリニダード
とりのたまごずし	鳥の玉子寿司
とるくしー	トルクシー
とろびでにこんだいぇんどぅしぇん	とろ火で煮込んだ腌篤鮮
とーちざい	トーチ材
どぅじぇー	ドゥジェー
どぅらふ・かっつぇれいん	ドゥラフ・カッツェレイン
どぅりん	ドゥリン
どうこうしめんたい	導光四面体
どうじゃく	銅雀
どうてんほうせん	洞天宝銭
どきどきぽんぽん	ドキドキポンポン
どくせんひわ・ぐるめこらむ	独占秘話·グルメコラム
どこかでつまれたさきかけのはな	何処かで摘まれた咲きかけの花
どっとーれ	ドットーレ
どどだいまおう	ドド大魔王
どどりあんかいせんすーぷ	ドドリアン海鮮スープ
どにあざーど・ふーまい	ドニアザード・フーマイ
どりー・さんぐまはべい	ドリー・サングマハベイ
どるふぃー	ドルフィー
どれでもどーぞ！	どれでもどーぞ！
どんてんのくじら・しかく	呑天の鯨・只角
どゔぉるざーく	ドヴォルザーク
なかはらのもつやき	中原のもつ焼き
ながのはらはなびや	長野原花火屋
ながのはらりゅうのすけ	長野原龍之介
なざふぁりん	ナザファリン
なざむ	ナザム
なせじゅな	ナセジュナ
なぞのにく	謎の肉
なっつ	ナッツ
なつまつりのおわり	夏祭りの終わり
なつまつりのかめん	夏祭りの仮面
なつまつりのとき	夏祭りの刻
なつまつりのはな	夏祭りの花
なつまつりのみずふうせん	夏祭りの水風船
なつまつりのゆうぎょ	夏祭りの游魚
なつめやしきゃんでぃ	ナツメヤシキャンディ
なづちのはま	名椎の浜
なびや	ナビヤ
なふぃす	ナフィス
なぶ・まりかった	ナブ・マリカッタ
なまか	ナマカ
なるかみじま・てんしゅ	鳴神島・天守
なるかみみたまのおんけい	鳴神御霊の恩恵
なるかみみたまのかんき	鳴神御霊の歓喜
なるかみみたまのしんあい	鳴神御霊の親愛
なるかみみたまのゆうぶ	鳴神御霊の勇武
なるきっそす	ナルキッソス
なるつぃっせんくろいつ	ナルツィッセンクロイツ
なるぼんぬえりあ	ナルボンヌエリア
なるぼんぬのとまとふぁるし	ナルボンヌのトマトファルシ
なるみせいかしんくん	鳴海栖霞真君
なんたっく	ナンタック
なんな	ナンナ
にえが	ニエガ
にこ・りやん	ニコ・リヤン
にぺが	ニペガ
にんじんとおにくのはにーそてー	ニンジンとお肉のハニーソテー
ぬう	ヌウ
ぬくもり	温もり
ぬすた	ヌスタ
ぬのざい	布材
ぬーる	ヌール
ねこ	寝子
ねつけのげん	根付の源
ねむけざましぴざ	眠気覚ましピザ
ねらん	ネラン
ねんそさいくつけんきゅうじょ	燃素採掘研究所
のうこうまっしゅぽてと	濃厚マッシュポテト
のすといちく	ノストイ地区
のばなのきおくのそうげん	野花の記憶の草原
のぶし・きこうばん	野伏・機巧番
のぶし・じんとうばん	野伏・陣刀番
のぶし・ひつけばん	野伏・火付番
はいたのつゆ	排他の露
はいぱしあ	ハイパシア
はいやーむ	ハイヤーム
はかいぞうしょくせいめいたい	破壊増殖生命体
はぎす	ハギス
はくよう	伯陽
はざまのまち	狭間の街
はじめ	創
はじゃなど	ハジャナド
はすのみいりちゃわんむし	ハスの実入り茶碗蒸し
はそんしたかめん	破損した仮面
はっこうふるーつじゅーす	発酵フルーツジュース
はっど	ハッド
はっらのみ	ハッラの実
はどうのきば	覇道の牙
はなかどぎょくしょう	花角玉将
はなちるさと	花散里
はなとかじつのとりお	花と果実のトリオ
はにやー	ハニヤー
はやしのゆめ	林の夢
はるばーど・さいちょう	ハルバード・サイチョウ
はるゔぁまずだ	ハルヴァマズダ
はんえいのおしえ	「繁栄」の教え
はんえいのてつがく	「繁栄」の哲学
はんえいのみちびき	「繁栄」の導き
はんけつくだしだけ	ハンケツクダシダケ
はんぺっく	ハンペック
はーるゔだん	ハールヴダン
はーるーと	ハールート
ばくらゔぁ	バクラヴァ
ばけだぬき	妖狸
ばけーしょんさいだー	バケーションサイダー
ばざる・えるとん	バザル・エルトン
ばしゃーる	バシャール
ばたーさかなやき	バター魚焼き
ばたーちきん	バターチキン
ばつなん	伐難
ばてぃすと	バティスト
ばはらーむ	バハラーム
ばび	馬尾
ばびす	バビス
ばぶるおれんじ	バブルオレンジ
ばぶるすふれ	バブルスフレ
ばべる・たにっと	バベル・タニット
ばむーん	バムーン
ばらのふ	バラノフ
ばらむ	バラム
ばるふぉあ	バルフォア
ばんすいのみなもと・ぐれーと・ふぉんてーぬ・れいく	万水の源・グレート・フォンテーヌ・レイク
ばんたんさんごたんていしょ	万端珊瑚探偵所
ばんみんどうみずにざかな	万民堂水煮魚
ばーてぃんのちんきかん	バーティンの珍奇館
ばーとらんど	バートランド
ばーばら・ぺいじ	バーバラ・ペイジ
ばーばら・ぺっち	バーバラ・ペッチ
ぱいもん	パイモン
ぱかる	パカル
ぱたぱたくさまっしゅろん	パタパタ草マッシュロン
ぱたぱたこおりまっしゅろん	パタパタ氷マッシュロン
ぱっか・ぬい	パッカ・ヌイ
ぱてぃさら	パティサラ
ぱてぃさらぷりん	パティサラプリン
ぱとりっく	パトリック
ぱにぷり	パニプリ
ぱねーす	パネース
ぱるゔぁね	パルヴァネ
ぱんたろーね	パンタローネ
ぱーと・どぅ・ふりゅい	パート・ドゥ・フリュイ
ぱーゔぇずらゔぁん	パーヴェズラヴァン
