;; okuri-ari entries.
;; okuri-nasi entries.
ああるのかげ /アアルの影/
ああるむら /アアル村/
あいされるしょうじょ /愛される少女/
あかつきわいなりー /アカツキワイナリー/
あくおうまる /惡王丸/
あくしょんふぇーず /アクションフェーズ/
あしぱとら・ゔぁなのぬま /アシパトラ・ヴァナの沼/
あしゃゔぁんれるむ /アシャヴァンレルム/
あしゅせいぶつ /亜種生物/
あしゅゔぁったしんでん /アシュヴァッタ神殿/
あぱーむそうりん /アパーム叢林/
あびさるゔぃしゃっぷ /アビサルヴィシャップ/
あびすきょうだん /アビス教団/
あびすのえいしょうしゃ /アビスの詠唱者/
あびすのしと /アビスの使徒/
あびすのまじゅつし /アビスの魔術師/
あびでぃあのもり /アビディアの森/
あふらしあぶどうくつ /アフラシアブ洞窟/
あぺぷのおあしすしゅごしゃ /アペプのオアシス守護者/
あめのはて /雨の果て/
あめのまかげうち /天目影打/
あもすのゆみ /アモスの弓/
あやか /綾華/
あやっくす /アヤックス/
あやと /綾人/
あらいしのそうばく /荒石の蒼漠/
あらたき /荒瀧/
あらたきいっと /荒瀧一斗/
あらんなら /アランナラ/
あるだらびかこく /アルダラビ河谷/
あるはいぜん /アルハイゼン/
あるべど /アルベド/
あるれっきーの /アルレッキーノ/
ある・あじふのすな /アル・アジフの砂/
ある・いんきだのあんぐう /アル・インキダの行宮/
ある・すーくるきゅうでん /アル・スークル宮殿/
ある・ぬはすのみやこ /アル・ヌハスの都/
ある・はやーきゅうでん /アル・ハヤー宮殿/
ある・まじゅじきょうこく /アル・マジュジ峡谷/
ある・むあざんきゅうでん /アル・ムアザン宮殿/
あんどりあす /アンドリアス/
あんばー /アンバー/
あーろい /アーロイ/
いあんさ /イアンサ/
いぇらん /夜蘭/
いかいのしらべ /葦海の標/
いしゃ /医者/
いずみのさかい /泉の境/
いせかいりょこうき /異世界旅行記/
いせききへい /遺跡機兵/
いせきさーぺんと /遺跡サーペント/
いせきしゅえい /遺跡守衛/
いせきじゅうき /遺跡重機/
いせきじゅんししゃ /遺跡巡視者/
いせきどれいく /遺跡ドレイク/
いせきはんたー /遺跡ハンター/
いなずま /稲妻/
いべんとかーど /イベントカード/
いろうふ /遺瓏埠/
いわげんそ /岩元素/
いんじゃのゆうえん /隠者の遊園/
うぇねと /ウェネト/
うぇねととんねる /ウェネトトンネル/
うぇんてぃ /ウェンティ/
うきよ /浮世/
うきよのじょう /浮世の錠/
うさい /雨裁/
うしなわれたなえはた /失われた苗畑/
うみぞめしゃこ /海染硨磲/
うらくみすぎり /有楽御簾切/
うんきん /雲菫/
うんらいのうみ /雲来の海/
えい /影/
えいえんのおあしす /「永遠のオアシス」/
えいえんのおあしす /永遠のオアシス/
えいこうのしれん /栄冠の試練/
えうるあ /エウルア/
えみりえ /エミリエ/
えるまいとりょだん /エルマイト旅団/
えんかのみや /淵下宮/
えんしぇんとゔぃしゃっぷ /エンシェントヴィシャップ/
えんどふぇーず /エンドフェーズ/
えんひ /煙緋/
おうごん /黄金/
おうごんおうじゅう /黄金王獣/
おうごんのげきだん /黄金の劇団/
おうごんや /黄金屋/
おうじょうどう /往生堂/
おうじょうやこう /往生夜行/
おうのきんじ /王の近侍/
おおかみのまつろ /狼の末路/
おくぞうさん /奥蔵山/
おにくつみつみ /お肉ツミツミ/
おるびっと /オルビット/
おるびっとじょう /オルビット城/
おるもすこう /オルモス港/
おろるん /オロルン/
おんどり /雄鶏/
かいえんのふぃなーれ /海淵のフィナーレ/
かいか /開花/
かいらい /傀儡/
かいらぎ /海乱鬼/
かえではらかずは /楓原万葉/
かかい /花海/
かかんむせいけいがいき /華館夢醒形骸記/
かくさん /拡散/
かくめいのよいん /鶴鳴の余韻/
かぐらのしんい /神楽の真意/
かこうのりん /華光の林/
かごつるべいっしん /籠釣瓶一心/
かずは /万葉/
かぜうなりのおか /風唸りの丘/
かぜげんそ /風元素/
かぜたちのち /風立ちの地/
かたてけん /片手剣/
かちーな /カチーナ/
かっぱつじょうたい /活発状態/
かつてのゔぁならーな /かつてのヴァナラーナ/
かつらぎきりながまさ /桂木斬長正/
かねのけん /鐘の剣/
かふか /過負荷/
かみさとあやか /神里綾華/
かみさとあやと /神里綾人/
かみなりげんそ /雷元素/
かみなりのようないかり /雷のような怒り/
かみなりまつりのひと /雷祭りの人/
