Genshin Impact 1
ああるこしゃり	アアルコシャリ
ああるのかげ	アアルの影
ああるむら	アアル村
あいおーぬ	アイオーヌ
あいされるしょうじょ	愛される少女
あいせつなあいすくりすたる	哀切なアイスクリスタル
あいせつなあいすくりすたる・かけら	哀切なアイスクリスタル・欠片
あいせつなあいすくりすたる・かたまり	哀切なアイスクリスタル・塊
あいせつなあいすくりすたる・さいせつ	哀切なアイスクリスタル・砕屑
あいべる	アイベル
あいん	アイン
あうたけへいげん	アウタケ平原
あおいろのせんりょう	青色の染料
あかいろのせんりょう	赤色の染料
あかかんむりがら	赤カンムリガラ
あかがねのはいじょう	赤金の廃城
あかくちばしぺりかん	赤喙ペリカン
あかつきわいなりー	アカツキワイナリー
あくおうまる	惡王丸
あくしょんふぇーず	アクションフェーズ
あげざかなのあまずあんかけ	揚げ魚の甘酢あんかけ
あこうのます	赤穂の枡
あこがれ	憧れ
あさせじんじゃ	浅瀬神社
あさつゆのとき	朝露の時
あざりく	アザリク
あざーる	アザール
あしぱとら・ゔぁなのぬま	アシパトラ・ヴァナの沼
あしゃゔぁんれるむ	アシャヴァンレルム
あしゅせいぶつ	亜種生物
あしゅゔぁったしんでん	アシュヴァッタ神殿
あじゃんたちょうこくてん	アジャンタ彫刻店
あすとろーぎすと・もな・めぎすとす	アストローギスト・モナ・メギストス
あすふぁんど	アスファンド
あっしぇん	アッシェン
あっぷるさいだー	アップルサイダー
あでりん	アデリン
あでるふぃ	アデルフィ
あとっさ	アトッサ
あなとーる	アナトール
あはんがる	アハンガル
あばっどい	アバッドイ
あぱーむそうりん	アパーム叢林
あびさるゔぃしゃっぷ	アビサルヴィシャップ
あびさるゔぃしゃっぷのむれ	アビサルヴィシャップの群れ
あびすきょうだん	アビス教団
あびすのえいしょうしゃ・えんえん	アビスの詠唱者・淵炎
あびすのえいしょうしゃ・しでん	アビスの詠唱者・紫電
あびすのしと・げきりゅう	アビスの使徒・激流
あびすのしと・らくそう	アビスの使徒・落霜
あびすのまじゅつし	アビスの魔術師
あびすのまじゅつし・かみなり	アビスの魔術師・雷
あびすのまじゅつし・こおり	アビスの魔術師・氷
あびすのまじゅつし・ほのお	アビスの魔術師・炎
あびすのまじゅつし・みず	アビスの魔術師・水
あびでぃあのもり	アビディアの森
あぴとりぬすさん	アピトリヌス山
あふたぬーんてぃー	アフタヌーンティー
あふまる	アフマル
あふらしあぶどうくつ	アフラシアブ洞窟
あぶらくさす	アブラクサス
あべらく	阿倍良久
あぺぷ	アペプ
あぺぷのおあしすしゅごしゃ	アペプのオアシス守護者
あまえびのにぎりずし	甘エビの握り寿司
あまかねじま	甘金島
あまくもとうげ	天雲峠
あまでぃあ	アマディア
あめのはて	雨の果て
あめのまかげうち	天目影打
あめのまかじや	天目鍛冶屋
あめのまとうご	天目十五
あもすのゆみ	アモスの弓
あもん	アモン
あやか	綾華
あやっくす	アヤックス
あやと	綾人
あらいしのそうばく	荒石の蒼漠
あらうみ	荒海
あらしねえ	嵐姉
あらたき	荒瀧
あらたきいっと	荒瀧一斗
あらなみぱい	荒波パイ
あらに	アラニ
あらんから	アランカラ
あらんがる	アランガル
あらんこんてぃ	アランコンティ
あらんさか	アランサカ
あらんしゃくん	アランシャクン
あらんださ	アランダサ
あらんだーしゃ	アランダーシャ
あらんちゃんとら	アランチャントラ
あらんなが	アランナガ
あらんなきん	アランナキン
あらんなくら	アランナクラ
あらんなら	アランナラ
あらんはどぅ	アランハドゥ
あらんばりか	アランバリカ
あらんぱかてぃ	アランパカティ
あらんぱす	アランパス
あらんぱんどぅ	アランパンドゥ
あらんふぁら	アランファラ
あらんま	アランマ
あらんみなり	アランミナリ
あらんむふくんだ	アランムフクンダ
あらんらきゃ	アランラキャ
あらんらじゃ	アランラジャ
あらんらな	アランラナ
あらんろひた	アランロヒタ
あらん・ぎよたん	アラン・ギヨタン
ありす	アリス
ある	亜琉
あるえ	アルエ
あるけうむ	アルケウム
あるた・せみた	アルタ・セミタ
あるだらびかこく	アルダラビ河谷
あるはいぜん	アルハイゼン
あるべど	アルベド
あるれっきーの	アルレッキーノ
ある・あじふのすな	アル・アジフの砂
ある・いんきだのあんぐう	アル・インキダの行宮
ある・すーくるきゅうでん	アル・スークル宮殿
ある・ぬはすのみやこ	アル・ヌハスの都
ある・はやーきゅうでん	アル・ハヤー宮殿
ある・まじゅじきょうこく	アル・マジュジ峡谷
ある・むあざんきゅうでん	アル・ムアザン宮殿
あれそ	アレソ
あれふ	アレフ
あわあわたつのこ・おす	アワアワタツノコ・オス
あん	アン
あんかいのちょうこく	暗晦の彫刻
あんしょくぷりずむ	暗色プリズム
あんでしゅどってる	アンデシュドッテル
あんとはー	アントハー
あんとん・めるにこふ	アントン・メルニコフ
あんとーん・ろじゃー	アントーン・ロジャー
あんどりあす	アンドリアス
あんにんどうふ	杏仁豆腐
あんばー	アンバー
あんみんのち	安眠の地
あんみんへのでざいあ	安眠へのデザイア
あんり	アンリ
あーらゔ	アーラヴ
あーりやでーば	アーリヤデーバ
あーろい	アーロイ
いあんさ	イアンサ
いぇらん	夜蘭
いぇん	イェン
いぇんどぅしぇん	腌篤鮮
いおろい	五百蔵
いかいせいめいたいのこあ	異界生命体のコア
いかいのかたまり	異海の塊
いかいのしらべ	葦海の標
いかいのつゆ	異海の露
いかいのよかげ	異界の余影
いかんのきしょう	尉官の記章
いくんのはな	偉勲の花
いけのなかにあるていたく	池の中にある邸宅
いしゃ	医者
いずみのさかい	泉の境
いせかいりょこうき	異世界旅行記
いせききへい	遺跡機兵
いせきさーぺんと	遺跡サーペント
いせきしゅえい	遺跡守衛
いせきじゅうき	遺跡重機
いせきじゅんししゃ	遺跡巡視者
いせきせんめつしゃ	遺跡殲滅者
いせきていさつしゃ	遺跡偵察者
いせきどれいく	遺跡ドレイク
いせきはんたー	遺跡ハンター
いせきぼうえいしゃ	遺跡防衛者
いたれりつくせり	至れり尽くせり
いでぃあ	イディア
いどりし	イドリシ
いなずま	稲妻
いなずまじょう	稲妻城
いなや	イナヤ
いのしし	イノシシ
いのししぷりんせす	イノシシプリンセス
いぷししますのとう	イプシシマスの塔
いべんとかーど	イベントカード
いりやーす	イリヤース
いる・ふろったんと	イル・フロッタント
いろあせたあかいきぬ	色褪せた赤い絹
いろあせたしろ	色褪せた城
いろうふ	遺瓏埠
いろがわりのけっしょう	色変わりの結晶
いろっく	イロック
いわげんそ	岩元素
いわしょうちょう	岩晶蝶
いわすらいむ	岩スライム
いわふらいむ	岩フライム
いんじゃのおう・どあーちゅ	隠者の王・ドアーチュ
いんじゃのゆうえん	隠者の遊園
いんねんのたま	陰燃の珠
いゔす	イヴス
いーすと・えすすさんろく	イースト・エスス山麓
いーすと・おとんぬき	イースト・オトンヌキ
うぃからたいしょうやど	ウィカラ隊商宿
うぃんがれっとごう	ウィンガレット号
うぇすと・おとんぬき	ウェスト・オトンヌキ
うぇねと	ウェネト
うぇねととんねる	ウェネトトンネル
うぇんつぁい	ウェンツァイ
うぇんてぃ	ウェンティ
うぉるじー	ウォルジー
うきせいこう	雨奇晴好
うきよ	浮世
うきよのおしえ	「浮世」の教え
うきよのじょう	浮世の錠
うきよのてつがく	「浮世」の哲学
うきよのみちびき	「浮世」の導き
うぐいす	鶯
うさい	雨裁
うしお	丑雄
うしなわれたなえはた	失われた苗畑
うちょうのとう	有頂の塔
うっすー	ウッスー
うどん	うどん
うなぎのかばやき	うなぎの蒲焼
うなちゃづけ	うな茶漬け
うまうましゃわるまさんど	ウマウマシャワルマサンド
うまれたてのだくすいげんれい	生まれたての濁水幻霊
うみぞめしゃこ	海染硨磲
うゆうてい	烏有亭
うらくみすぎり	有楽御簾切
うらないのえまき	占いの絵巻
うらにあこ	ウラニア湖
うりんさらだ	雨林サラダ
うる	ウル
うるまん	ウルマン
うんきん	雲菫
うんらいのうみ	雲来の海
うーうーぶどう	ウーウーブドウ
うーししょう	卯師匠
えい	影
えいえんなるしんこう	永遠なる信仰
えいえんのおあしす	「永遠のオアシス」
えいえんのおあしす	永遠のオアシス
えいこうのしれん	栄冠の試練
えいぞくこあ	永続コア
えいようたっぷりばらんすしょく	栄養たっぷりバランス食
えいりなやさき	鋭利な矢先
えうるあ	エウルア
えうるあ・ろーれんす	エウルア・ローレンス
えげりあ	エゲリア
えすたぶれ	エスタブレ
えずもんど	エズモンド
えそんぬ	エソンヌ
えで	エデ
えでる	エデル
えどうぃん・いーすてぃんぐはうす	エドウィン・イースティングハウス
えびのあっさりいため	エビのあっさり炒め
えびのぽてとかなっぺ	エビのポテトカナッペ
えびのぽてとつつみあげ	エビのポテト包み揚げ
えぴくれしすかげきじょう	エピクレシス歌劇場
えふぇんでぃ	エフェンディ
えぼし	烏帽子
えみりえ	エミリエ
