Genshin Impact 2
だまーゔぁんどさん	ダマーヴァンド山
だんきゅう	弾弓
だんわしつ	談義室
だーくあれいのかりうど	ダークアレイの狩人
だーくあれいのさけとうた	ダークアレイの酒と詩
だーくあれいのせんこう	ダークアレイの閃光
だーり	ダーリ
だーりいせき	ダーリ遺跡
だーりのたに	ダーリの谷
だーるあるしふぁ	ダールアルシファ
ちぇーんぶれいかー	チェーンブレイカー
ちえのかんむり	知恵の冠
ちおり	千織
ちかいのみさき	誓いの岬
ちかいのめいどう	誓いの明瞳
ちかしつげん	地下湿原
ちくうん	築雲
ちこがん	チ虎岩
ちこぎょのかたな	チ虎魚の刀
ちじょうこうく	地上鉱区
ちぞめのきしどう	血染めの騎士道
ちちゅうのしお	地中の塩
ちつじょ	秩序
ちほうでんせつ	地方伝説
ちゃすか	チャスカ
ちゃとらかむどうくつ	チャトラカム洞窟
ちゅうきょうのけんさん	鋳境の研鑽
ちゅうげん	忠言
ちょううん	重雲
ちょうかいか	超開花
ちょうげきか	超激化
ちょうさいようごうどれいく	兆載永劫ドレイク
ちょうでんどう	超電導
ちょうどひん	調度品
ちりゅうのけん	螭龍の剣
ちりょうのみず	治療の水
ちんぎょくのたに	沈玉の谷
ちんざんのくぎ	鎮山の釘
ちんりんのこころ	沈淪の心
ちんろうえん	沈瓏淵
ちんわときょうこく	チンワト峡谷
ついおくのしめなわ	追憶のしめ縄
つるみ	鶴観
てぃなり	ティナリ
ていわっと	テイワット
てきかしゅう	荻花洲
てけめかんのたに	テケメカンの谷
てっこうようえんていおう	鉄甲熔炎帝王
てっさいのはな	鉄彩の花
てつえいだんびら	鉄影段平
てつかげだんびら	鉄影段平
てつせんそう	鉄尖槍
てつなざん	鉄和山
てつほうのさし	鉄蜂の刺し
てぺあかくざか	テペアカク坂
てぺとるこりゅう	テペトル仔竜
てぺとるりゅう	テペトル竜
てぺとるりゅうせんしさいがんのぶれーど	テペトル竜戦士・砕岩のブレード
てぺとるりゅうせんしさいしょうのはんまー	テペトル竜戦士・砕晶のハンマー
てんきゅうのたに	天穹の谷
てんくうのおごり	天空の傲
てんくうのしま	天空の島
てんくうのせき	天空の脊
てんくうのつばさ	天空の翼
てんくうのまき	天空の巻
てんくうのやいば	天空の刃
てんこう	天光
てんこうきょう	天工峡
てんこうざん	天衡山
てんぷかーど	天賦カード
でぃおな	ディオナ
でぃしあ	ディシア
でぃるっく	ディルック
でっとえーじぇんと	デットエージェント
でーゔぁーんたかやま	デーヴァーンタカ山
とぅにぎのこくえん	トゥニギの黒淵
