Genshin Impact 4
ぽうる	ポウル
ぽけっとまどうしょ	ポケット魔導書
ぽこぽこびーにー	ポコポコビーニー
ぽとん	ポトン
ぽぽらーの	ポポラーノ
ぽわそんちょう	ポワソン町
ぽわそんとんねる	ポワソントンネル
ぽーと・まるこっと	ポート・マルコット
まいやるで	マイヤルデ
まうてぃーまちゅうりん	マウティーマ稠林
まかいらのみずいろ	マカイラの水色
まがつみたけなるかみのみこと	禍津御建鳴神命
まぐうけんき	魔偶剣鬼
まこと	眞
まさのり	「公義」
まさのり	公義
ましなりー	マシナリー
ましなりー・えんざんりょくぞうふくき	マシナリー・演算力増幅器
ましなりー・きびんさいしゅうがた	マシナリー・機敏採集型
ましなりー・くいきけいかいがた	マシナリー・区域警戒型
ましなりー・すいちゅうかんそくがた	マシナリー・水中観測型
ましなりー・すいちゅうじゅんゆうがた	マシナリー・水中巡遊型
ましなりー・ちしつたんちがた	マシナリー・地質探知型
ましなりー・ていさつきろくがた	マシナリー・偵察記録型
ましーら	マシーラ
まじっくふらわー	マジックフラワー
まじょのこころのほのお	魔女の心の炎
まじょのはめつのとき	魔女の破滅の時
まじょのほのおのはな	魔女の炎の花
まじょのほのおのはね	魔女の炎の羽根
まじょばあさん	魔女婆さん
ますくしょう	マスク礁
まぞうぷらえとりあに	魔像プラエトリアニ
まぞうれがとぅす	魔像レガトゥス
まっしゅらぷとる	マッシュラプトル
まどうしょろん	魔導緒論
まはーるっかでゔぁーた	マハールッカデヴァータ
まはーゔぁならーなぱな	マハヴァナラーナパナ
まめーる	マメール
まらーなのけしん	マラーナの化身
まりあん	マリアン
まりあん・ぎよたん	マリアン・ギヨタン
まる	マル
まるしらっく	マルシラック
まんえつのみ	満悦の実
まんせいのくさ	蔓生の草
まんせいのけいこく	蔓生の渓谷
まんぶんしゅうしゃ	万文集舎
まーがれっと	マーガレット
まーじょりー	マージョリー
まーせる	マーセル
まーるーと	マールート
みか	ミカ
みかげろしん	御影炉心
みか・しゅみっと	ミカ・シュミット
みじゃーる	ミジャール
みずげんそ	水元素
みずすらいむ	水スライム
みずふらいむ	水フライム
みずまつりのひと	水祭りの人
みどりのかりうどのかんむり	緑の狩人の冠
みどりのかりうどのけっしん	緑の狩人の決心
みどりのかりうどのようき	緑の狩人の容器
みぬ	弥怒
みひる	ミヒル
みやじ	宮地
みょうじょうさい	明星斎
みらーめいでん	ミラーメイデン
みんりん	珉林
むくなうみのきんぱい	無垢な海の金盃
むくなうみのぎんぱい	無垢な海の銀盃
