Genshin Impact 5
まつざい	松材
まつたけのあわびもどき	松茸のアワビもどき
まつたけのにくまき	松茸の肉巻き
まつたけのばたーやき	松茸のバター焼き
まどうしょろん	魔導緒論
まはーるっかでゔぁーた	マハールッカデヴァータ
まはーゔぁならーなぱな	マハヴァナラーナパナ
まほうのみーとそーす	魔法のミートソース
まめーる	マメール
まらーなのけしん	マラーナの化身
まりあん	マリアン
まりあん・ぎよたん	マリアン・ギヨタン
まる	マル
まるこっとそう	マルコット草
まるしらっく	マルシラック
まるてんすのばんのうほござい	マルテンスの万能保護材
まろうざい	マロウ材
まんえつのみ	満悦の実
まんせいのくさ	蔓生の草
まんせいのけいこく	蔓生の渓谷
まんぞくさらだ	満足サラダ
まんぶんしゅうしゃ	万文集舎
まんまるたこ	マンマルタコ
まーがれっと	マーガレット
まーじょりー	マージョリー
まーせる	マーセル
まーるーと	マールート
みか	ミカ
みかげろしん	御影炉心
みか・しゅみっと	ミカ・シュミット
みじゃーる	ミジャール
みじゅくのぎょくせき	未熟の玉石
みずげんそ	水元素
みずしょうちょう	水晶蝶
みずすらいむ	水スライム
みずふらいむ	水フライム
みずまつりのひと	水祭りの人
みそしる	味噌汁
みつじゅうちゃーしゅー	蜜汁チャーシュー
みどりのかりうどのかんむり	緑の狩人の冠
みどりのかりうどのけっしん	緑の狩人の決心
みどりのかりうどのようき	緑の狩人の容器
みなぎるほしたけ	みなぎる星茸
みぬ	弥怒
みのりゆたか	実り豊か
みひる	ミヒル
みやじ	宮地
みょうじょうさい	明星斎
みらーじゅさいじょう	ミラージュ祭場
みらーめいでん	ミラーメイデン
みるきーきのこくりすぷたわー	ミルキーキノコクリスプタワー
みろえび	美露エビ
みんと	ミント
みんとぜりー	ミントゼリー
みんとのあえもの	ミントの和え物
みんとのけものにくまき	ミントの獣肉巻き
みんとびーんすーぷ	ミントビーンスープ
みんとふるーつてぃー	ミントフルーツティー
みんとべりーじゅーす	ミントベリージュース
みんりん	珉林
みーとそーすらざにあ	ミートソースラザニア
むがくのとう	無学の塔
むくなうみのきんぱい	無垢な海の金盃
むくなうみのぎんぱい	無垢な海の銀盃
むくなうみのくはい	無垢な海の苦杯
むくなうみのしゅはい	無垢な海の酒盃
むくのはな	無垢の花
