;; okuri-ari entries.
;; okuri-nasi entries.
あすたー /アスター/
あべんちゅりん /アベンチュリン/
あるじぇんてぃ /アルジェンティ/
あーらん /アーラン/
いんげつ /飲月/
かふか /カフカ/
かんあ /寒鴉/
ぎゃらがー /ギャラガー/
ぎょくう /御空/
ぎんろう /銀狼/
くらーら /クラーラ/
けいげん /景元/
けいないふん /桂乃芬/
けいりゅう /鏡流/
げんきょう /彦卿/
さんぽ /サンポ/
じぇいど /ジェイド/
じぇぱーど /ジェパード/
じん /刃/
すしょう /素裳/
せいじゃく /青雀/
せつい /雪衣/
せーばる /セーバル/
ぜーれ /ゼーレ/
たんこう /丹恒/
ていうん /停雲/
とぱーず /トパーズ/
とぱーず&かぶ /トパーズ&カブ/
なたーしゃ /ナターシャ/
はなび /花火/
ひめこ /姫子/
びゃくろ /白露/
ふぉふぉ /フォフォ/
ふげん /符玄/
ふっく /フック/
ぶらっくすわん /ブラックスワン/
ぶろーにゃ /ブローニャ/
ぶーとひる /ブートヒル/
へるた /ヘルタ/
ぺら /ペラ/
ほたる /ホタル/
みつきなのか /三月なのか/
みーしゃ /ミーシャ/
よみ /黄泉/
らせつ /羅刹/
りんくす /リンクス/
るあん /ルアン/
るあん・めぇい /ルアン・メェイ/
るか /ルカ/
れいしお /Dr.レイシオ/
れいしお /レイシオ/
ろびん /ロビン/
ゔぇると /ヴェルト/
