Honkai Star Rail 1
あすたー	アスター
あべんちゅりん	アベンチュリン
あるじぇんてぃ	アルジェンティ
あーらん	アーラン
いぶつ	遺物
いんげつ	飲月
うちゅうのこうがい	宇宙の蝗害
うんり	雲璃
おうごんときかい	黄金と機械
かいさうちゅう	階差宇宙
かいめつ	壊滅
かふか	カフカ
かんあ	寒鴉
きぼうのさすらいびと	帰忘の流離人
きょこうじょじ	虚構叙事
きょむ	虚無
ぎゃらがー	ギャラガー
ぎょくう	御空
ぎんろう	銀狼
くらーら	クラーラ
けいげん	景元
けいないふん	桂乃芬
けいりゅう	鏡流
げんきょう	彦卿
こうえんすい	光円錐
こんとんのきおく	混沌の記憶
さんでー	サンデー
さんぽ	サンポ
しょうきゅう	椒丘
じぇいど	ジェイド
じぇぱーど	ジェパード
じゅんしゅ	巡狩
じん	刃
すしょう	素裳
せいじゃく	青雀
せつい	雪衣
せーばる	セーバル
ぜーれ	ゼーレ
そんご	存護
たんこう	丹恒
ちえ	知恵
ちょうやく	跳躍
ちょうわ	調和
ていうん	停雲
とぱーず	トパーズ
とぱーず&かぶ	トパーズ&カブ
なたーしゃ	ナターシャ
はなび	花火
ひしょう	飛霄
ひめこ	姫子
びゃくろ	白露
ふぉふぉ	フォフォ
ふかちいき	不可知域
ふげん	符玄
ふっく	フック
ぶらっくすわん	ブラックスワン
ぶろーにゃ	ブローニャ
ぶーとひる	ブートヒル
へるた	ヘルタ
ぺら	ペラ
ほうじょう	豊穣
ほたる	ホタル
ぼうきゃくのにわ	忘却の庭
まつじつのげんえい	末日の幻影
みつきなのか	三月なのか
みーしゃ	ミーシャ
もぎうちゅう	模擬宇宙
もぜ	モゼ
よみ	黄泉
らせつ	羅刹
らんは	乱破
りんくす	リンクス
るあん	ルアン
るあん・めぇい	ルアン・メェイ
るか	ルカ
れいさ	霊砂
れいしお	Dr.レイシオ
れいしお	レイシオ
れきせんよいん	歴戦余韻
ろびん	ロビン
ゔぇると	ヴェルト
