;; okuri-ari entries.
;; okuri-nasi entries.
あいせつのきょうちょう /哀切の凶鳥/
あきのなごり /秋の名残/
あんこ /アンコ/
あーると /アールト/
いしくずれのこうち /石崩れの高地/
いそう /異相/
いとくりのきじゅつ /糸繰りの奇術/
いんりん /吟霖/
うんせんのうろこ /雲閃のウロコ/
うんりょうだに /雲陵谷/
えいこのこがん /栄枯の湖岸/
えこー /音骸/
えんぶ /淵武/
おうごんのこぶし /黄金の拳/
おりえ /折枝/
おんがい /音骸/
おんちょうのぬま /怨鳥の沼/
かいせつ /回折/
かいふく /回復/
かかろ /カカロ/
かがやくくもゆるりゅうこう /赫く燃ゆる流光/
かく /角/
かれいかてんつぁ /華麗カテンツァ/
かんしん /鑑心/
きえん /忌炎/
きかいあぼみねーしょん /機械アボミネーション/
きどう /気動/
きみょうばりえーしょん /奇妙バリエーション/
きょういのほし /驚異の星/
きょうしんど /共振度/
きょうめいかいほう /共鳴解放/
きょうめいかいろ /共鳴回路/
きょうめいすきる /共鳴スキル/
きょうらんまるかーと /狂乱マルカート/
きょろうきゅう /巨浪級/
きよらかなおと /清らかな音/
きらいのみなと /帰来の港/
ぎゃくてんはんげき /逆転反撃/
ぎゃっきょうしんとう /逆境深塔/
ぎゃっこうのほし /逆行の星/
ぎょうしゅく /凝縮/
くうそうしょっぷ /空想ショップ/
けっしのひとりいくさ /決死の一人戦/
けんじゅう /拳銃/
けんそうにかくすかいこう /喧騒に隠す回光/
こうえいけん /鋼影拳＃21・四番/
こうえいけん /鋼影拳/
こうしんおーばーちゅあ /行進オーバーチュア/
こうりゅう /瑝瓏/
こぐちのさんみゃく /虎口の山脈/
こんし /今汐/
こんしゅう /今州/
こんしゅうじょう /今州城/
こんしゅうのえいし /今州の衛士/
こんてつのこころざし /金鉄の志/
さいかちょうわ /歳華調和/
さんか /散華/
しぇるこいん /シェルコイン/
しか /熾霞/
しっそうのほし /疾走の星/
しゅうそうすきる /終奏スキル/
しゅこう /手甲/
しゅんざんとう /瞬斬刀＃18/
しゅんざんとう /瞬斬刀/
しょあきーぱー /ショアキーパー/
しょうねつ /焦熱/
しょうめつ /消滅/
しんとうしょっぷ /深塔ショップ/
じゅうはじん /重破刃＃41/
じゅうはじん /重破刃/
じょうしょうさん /乗霄山/
じんとう /迅刀/
すいふうきゅう /水風級/
せいせい /星声/
せんきょうのここう /仙境の湖光/
せんげきじゅう /穿撃銃＃26/
せんげきじゅう /穿撃銃/
せんこのこすい /千古の湖水/
そうりよう /相里要/
そうりんれんぽう /蒼鱗連峰/
そららんく /ソラランク/
そらをきりさくめいらい /空を切り裂く冥雷/
ぞうふくき /増幅器/
たえないよいん /絶えない余韻/
たおき /桃祈/
たにをつきぬけるちょうふう /谷を突き抜ける長風/
たんきん /丹瑾/
ちゅうぶだいち /中部台地/
ちょうじん /長刃/
ちょうり /長離/
つきをうかがうけいうん /月を窺う軽雲/
つなみきゅう /津波級/
でんどう /電導/
とうさくのほし /倒錯の星/
どとうきゅう /怒涛級/
どとうのこおん /怒涛の湖音/
ながよのともしび /長夜の灯火/
にどとかがやかないちんじつ /二度と輝かない沈日/
はーもにー /ハーモニー/
はーもにーこうか /ハーモニー効果/
ばんしょうへんせん /万象変遷/
ひかりなきもり /光なき森/
ひょうはくしゃ /漂泊者/
ひれんのおおざる /飛廉の大猿/
びゃくし /白芷/
ふへんのこえん /不変の湖煙/
へんかのほし /変化の星/
へんそうすきる /変奏スキル/
ほくらくのはら /北落野原/
ほとばしるらいてい /迸る雷霆/
ほろしょっぷ /ホロショップ/
ほろたくてぃくす /ホロタクティクス/
むかんしゃ /無冠者/
むじょうのさぎ /無情のサギ/
むぼうしゃ /無妄者/
むみょうのわんがん /無明の湾岸/
むもうしゃ /無妄者/
めいしょうのかめ /鳴鐘の亀/
めいちょう /鳴潮/
めいどうき /鳴動機＃25/
めいどうき /鳴動機/
もえつきぬほのお /燃え尽きぬ焔/
もえつきぬほむら /燃え尽きぬ焔/
もるとふぃー /モルトフィー/
やまをとどろかせるほうか /山を轟かせる崩火/
やみをとりはらううきほし /闇を取り払う浮星/
やんやん /秧秧/
ゆうご /釉瑚/
ゆにおんれべる /ユニオンレベル/
よるにこびりつくしらしも /夜にこびり付く白霜/
らいせつのうろこ /雷刹のウロコ/
りょうげんのえんき /燎原の炎騎/
りんよう /凌陽/
れいかんでぃすこーど /霊感ディスコード/
ゔぇりーな /ヴェリーナ/
