Wuthering Waves 1
りんよう	凌陽
さんか	散華
びゃくし	白芷
あんこ	アンコ
もるとふぃー	モルトフィー
しか	熾霞
いんりん	吟霖
かかろ	カカロ
えんぶ	淵武
きえん	忌炎
かんしん	鑑心
やんやん	秧秧
あーると	アールト
ゔぇりーな	ヴェリーナ
たおき	桃祈
たんきん	丹瑾
ちょうり	長離
こんし	今汐
ひれんのおおざる	飛廉の大猿
むじょうのさぎ	無情のサギ
あいせつのきょうちょう	哀切の凶鳥
むかんしゃ	無冠者
むもうしゃ	無妄者
むぼうしゃ	無妄者
めいしょうのかめ	鳴鐘の亀
きかいあぼみねーしょん	機械アボミネーション
らいせつのうろこ	雷刹のウロコ
うんせんのうろこ	雲閃のウロコ
りょうげんのえんき	燎原の炎騎
かく	角
こうりゅう	瑝瓏
こんしゅう	今州
うんりょうだに	雲陵谷
ほくらくのはら	北落野原
いしくずれのこうち	石崩れの高地
ちゅうぶだいち	中部台地
きらいのみなと	帰来の港
こんしゅうじょう	今州城
こぐちのさんみゃく	虎口の山脈
むみょうのわんがん	無明の湾岸
ひかりなきもり	光なき森
おんちょうのぬま	怨鳥の沼
じょうしょうさん	乗霄山
ぞうふくき	増幅器
しゅこう	手甲
けんじゅう	拳銃
じんとう	迅刀
ちょうじん	長刃
いとくりのきじゅつ	糸繰りの奇術
えいこのこがん	栄枯の湖岸
きよらかなおと	清らかな音
きみょうばりえーしょん	奇妙バリエーション
こんしゅうのえいし	今州の衛士
へんかのほし	変化の星
めいどうき	鳴動機＃25
めいどうき	鳴動機
どとうのこおん	怒涛の湖音
おうごんのこぶし	黄金の拳
きょうらんまるかーと	狂乱マルカート
こんてつのこころざし	金鉄の志
きょういのほし	驚異の星
こうえいけん	鋼影拳＃21・四番
こうえいけん	鋼影拳
ふへんのこえん	不変の湖煙
ほとばしるらいてい	迸る雷霆
かれいかてんつぁ	華麗カテンツァ
もえつきぬほのお	燃え尽きぬ焔
もえつきぬほむら	燃え尽きぬ焔
しっそうのほし	疾走の星
せんげきじゅう	穿撃銃＃26
せんげきじゅう	穿撃銃
かがやくくもゆるりゅうこう	赫く燃ゆる流光
せんこのこすい	千古の湖水
ばんしょうへんせん	万象変遷
こうしんおーばーちゅあ	行進オーバーチュア
けっしのいちにんせん	決死の一人戦
とうさくのほし	倒錯の星
しゅんざんとう	瞬斬刀＃18
しゅんざんとう	瞬斬刀
さいかちょうわ	歳華調和
そうりんれんぽう	蒼鱗連峰
せんきょうのここう	仙境の湖光
あきのなごり	秋の名残
れいかんでぃすこーど	霊感ディスコード
ながよのともしび	長夜の灯火
ぎゃっこうのほし	逆行の星
じゅうはじん	重破刃＃41
じゅうはじん	重破刃
