;; okuri-ari entries.
;; okuri-nasi entries.
じん /ジン/
でぃるっく /ディルック/
もな /モナ/
こくせい /刻晴/
なな /七七/
べねっと /ベネット/
がいあ /ガイア/
れざー /レザー/
のえる /ノエル/
ばーばら /バーバラ/
すくろーす /スクロース/
りさ /リサ/
あんばー /アンバー/
ふぃっしゅる /フィッシュル/
ゆくあき /行秋/
ほくと /北斗/
ちょううん /重雲/
しゃんりん /香菱/
ぎょうこう /凝光/
うぇんてぃ /ウェンティ/
くれー /クレー/
たるたりや /タルタリヤ/
でぃおな /ディオナ/
しょうり /鍾離/
しんえん /辛炎/
あるべど /アルベド/
かんう /甘雨/
しょう /魈/
ふーたお /胡桃/
ろさりあ /ロサリア/
えんひ /煙緋/
えうるあ /エウルア/
かえではらかずは /楓原万葉/
かずは /万葉/
かみさとあやか /神里綾華/
あやか /綾華/
よいみや /宵宮/
さゆ /早柚/
あーろい /アーロイ/
らいでんしょうぐん /雷電将軍/
らいでん /雷電/
くじょうさら /九条裟羅/
さら /裟羅/
さんごのみやここみ /珊瑚宮心海/
ここみ /心海/
とーま /トーマ/
あらたきいっと /荒瀧一斗/
あらたき /荒瀧/
ごろー /ゴロー/
しんかく /申鶴/
うんきん /雲菫/
やえみこ /八重神子/
やえ /八重/
かみさとあやと /神里綾人/
あやと /綾人/
いぇらん /夜蘭/
くきしのぶ /久岐忍/
しのぶ /忍/
しかのいんへいぞう /鹿野院平蔵/
へいぞう /平蔵/
てぃなり /ティナリ/
これい /コレイ/
どりー /ドリー/
せの /セノ/
きゃんでぃす /キャンディス/
にぃろう /ニィロウ/
なひーだ /ナヒーダ/
れいら /レイラ/
ほうろうしゃ /放浪者/
ふぁるざん /ファルザン/
あるはいぜん /アルハイゼン/
よぉーよ /ヨォーヨ/
でぃしあ /ディシア/
みか /ミカ/
びゃくじゅつ /白朮/
かーゔぇ /カーヴェ/
きらら /綺良々/
りね /リネ/
りねっと /リネット/
ふれみね /フレミネ/
ぬゔぃれっと /ヌヴィレット/
りおせすり /リオセスリ/
ふりーな /フリーナ/
しゃるろっと /シャルロット/
なゔぃあ /ナヴィア/
しゅゔるーず /シュヴルーズ/
かんうん /閑雲/
がみん /嘉明/
ちおり /千織/
あるれっきーの /アルレッキーノ/
くろりんで /クロリンデ/
せとす /セトス/
しぐうぃん /シグウィン/
